IT_NO ID LIQUIDITY WEEKLY_CONSUMPTION_BUDGET money_to_spend money_spent quantity_bought
5 1344 17.061985 1.268009 1.268009 0.000000 0
5 1342 17.061985 1.268009 1.268009 0.000000 0
5 1341 17.061985 1.268009 1.268009 0.000000 0
5 1338 17.061985 1.268009 1.268009 0.000000 0
5 1337 17.061985 1.268009 1.268009 0.000000 0
5 1336 17.061985 0.893009 0.893009 0.000000 0
5 1335 17.061985 1.268009 1.268009 0.000000 0
5 1334 17.061985 1.268009 1.268009 0.000000 0
5 1332 17.061985 1.268009 1.268009 0.000000 0
5 1331 17.061985 0.893009 0.893009 0.000000 0
5 1328 17.061985 1.268009 1.268009 0.000000 0
5 1327 17.061985 1.268009 1.268009 0.000000 0
5 1326 17.061985 1.268009 1.268009 0.000000 0
5 1325 17.061985 1.268009 1.268009 0.000000 0
5 1319 17.061985 1.268009 1.268009 0.000000 0
5 1315 17.061985 1.268009 1.268009 0.000000 0
5 1314 17.061985 1.268009 1.268009 0.000000 0
5 1309 17.061985 1.268009 1.268009 0.000000 0
5 1305 17.061985 1.268009 1.268009 0.000000 0
5 1302 17.061985 1.268009 1.268009 0.000000 0
5 1296 17.061985 1.268009 1.268009 0.000000 0
5 1295 17.061985 0.893009 0.893009 0.000000 0
5 1291 17.061985 1.268009 1.268009 0.000000 0
5 1289 17.061985 0.893009 0.893009 0.000000 0
5 1288 17.061985 1.268009 1.268009 0.000000 0
5 1287 17.061985 1.268009 1.268009 0.000000 0
5 1284 17.061985 1.268009 1.268009 0.000000 0
5 1279 17.061985 1.268009 1.268009 0.000000 0
5 1276 17.061985 0.893009 0.893009 0.000000 0
5 1275 17.061985 0.893009 0.893009 0.000000 0
5 1271 17.061985 1.268009 1.268009 0.000000 0
5 1270 17.061985 0.893009 0.893009 0.000000 0
5 1269 17.061985 0.893009 0.893009 0.000000 0
5 1267 17.061985 1.268009 1.268009 0.000000 0
5 1266 17.061985 1.268009 1.268009 0.000000 0
5 1261 17.061985 1.268009 1.268009 0.000000 0
5 1260 17.061985 1.268009 1.268009 0.000000 0
5 1259 17.061985 1.268009 1.268009 0.000000 0
5 1257 17.061985 1.268009 1.268009 0.000000 0
5 1251 17.061985 1.268009 1.268009 0.000000 0
5 1249 17.061985 0.893009 0.893009 0.000000 0
5 1246 17.061985 1.268009 1.268009 0.000000 0
5 1245 17.061985 1.268009 1.268009 0.000000 0
5 1244 17.061985 1.268009 1.268009 0.000000 0
5 1238 17.061985 1.268009 1.268009 0.000000 0
5 1237 17.061985 1.268009 1.268009 0.000000 0
5 1235 17.061985 1.268009 1.268009 0.000000 0
5 1233 17.061985 1.268009 1.268009 0.000000 0
5 1230 17.061985 0.893009 0.893009 0.000000 0
5 1228 17.061985 1.268009 1.268009 0.000000 0
5 1227 17.061985 1.268009 1.268009 0.000000 0
5 1226 17.061985 1.268009 1.268009 0.000000 0
5 1225 17.061985 1.268009 1.268009 0.000000 0
5 1224 17.061985 1.268009 1.268009 0.000000 0
5 1222 17.061985 1.268009 1.268009 0.000000 0
5 1220 17.061985 1.268009 1.268009 0.000000 0
5 1219 17.061985 1.268009 1.268009 0.000000 0
5 1218 17.061985 0.893009 0.893009 0.000000 0
5 1216 17.061985 1.268009 1.268009 0.000000 0
5 1212 17.061985 1.268009 1.268009 0.000000 0
5 1211 17.061985 1.268009 1.268009 0.000000 0
5 1210 17.061985 1.268009 1.268009 0.000000 0
5 1208 17.061985 0.518009 0.518009 0.000000 0
5 1207 17.061985 1.268009 1.268009 0.000000 0
5 1206 17.061985 1.268009 1.268009 0.000000 0
5 1205 17.061985 1.268009 1.268009 0.000000 0
5 1203 17.061985 1.268009 1.268009 0.000000 0
5 1201 17.061985 0.893009 0.893009 0.000000 0
5 1200 17.061985 1.268009 1.268009 0.000000 0
5 1198 17.061985 1.268009 1.268009 0.000000 0
5 1197 17.061985 1.268009 1.268009 0.000000 0
5 1194 17.061985 1.268009 1.268009 0.000000 0
5 1193 17.061985 0.893009 0.893009 0.000000 0
5 1192 17.061985 0.518009 0.518009 0.000000 0
5 1191 17.061985 0.893009 0.893009 0.000000 0
5 1188 17.061985 0.893009 0.893009 0.000000 0
5 1187 17.061985 1.268009 1.268009 0.000000 0
5 1183 17.061985 1.268009 1.268009 0.000000 0
5 1182 17.061985 1.268009 1.268009 0.000000 0
5 1181 17.061985 1.268009 1.268009 0.000000 0
5 1180 17.061985 1.268009 1.268009 0.000000 0
5 1179 17.061985 1.268009 1.268009 0.000000 0
5 1178 17.061985 1.268009 1.268009 0.000000 0
5 1177 17.061985 1.268009 1.268009 0.000000 0
5 1175 17.061985 1.268009 1.268009 0.000000 0
5 1174 17.061985 1.268009 1.268009 0.000000 0
5 1173 17.061985 1.268009 1.268009 0.000000 0
5 1172 17.061985 0.893009 0.893009 0.000000 0
5 1170 17.061985 1.268009 1.268009 0.000000 0
5 1168 17.061985 0.893009 0.893009 0.000000 0
5 1166 17.061985 1.268009 1.268009 0.000000 0
5 1164 17.061985 1.268009 1.268009 0.000000 0
5 1163 17.061985 0.893009 0.893009 0.000000 0
5 1162 17.061985 1.268009 1.268009 0.000000 0
5 1160 17.061985 0.893009 0.893009 0.000000 0
5 1159 17.061985 1.268009 1.268009 0.000000 0
5 1157 17.061985 1.268009 1.268009 0.000000 0
5 1156 17.061985 1.268009 1.268009 0.000000 0
5 1155 17.061985 0.893009 0.893009 0.000000 0
5 1154 17.061985 1.268009 1.268009 0.000000 0
5 1151 17.061985 0.518009 0.518009 0.000000 0
5 1150 17.061985 1.268009 1.268009 0.000000 0
5 1147 17.061985 0.893009 0.893009 0.000000 0
5 1146 17.061985 0.518009 0.518009 0.000000 0
5 1144 17.061985 1.268009 1.268009 0.000000 0
5 1143 17.061985 0.893009 0.893009 0.000000 0
5 1140 17.061985 1.268009 1.268009 0.000000 0
5 1139 17.061985 1.268009 1.268009 0.000000 0
5 1137 17.061985 1.268009 1.268009 0.000000 0
5 1134 17.061985 1.268009 1.268009 0.000000 0
