IT_NO ID LOANS MORTGAGES DEPOSITS EQUITY INTERESTS_PAID
2460 1638 28071.534081 203899.143596 14869.099262 23765.993427 247.201945
2520 1638 26593.883308 206692.640661 14879.814199 21709.566293 248.129392
2520 1637 23801.464148 194885.831500 13466.129799 26166.835720 223.926096
2580 1637 23934.209992 197800.818524 14528.606977 26172.895462 227.035162
2580 1638 26847.656592 207187.026537 17886.282647 22863.592878 243.403014
2640 1638 27607.032633 208550.887800 20897.131486 23056.070621 246.175683
2640 1637 23934.209992 199703.920830 15175.292646 26187.396360 225.461311
2700 1637 24021.491294 202235.679138 16660.394953 26200.908314 227.942881
2700 1638 28421.489559 208620.055788 21341.731833 23260.975093 243.125240
2760 1638 27679.402574 209039.181909 24985.423443 22288.902803 241.770227
2760 1637 24170.753036 208920.165377 20197.319324 26238.527603 229.513402
2820 1637 24170.753036 210472.461184 21218.036734 26266.755187 230.930824
2820 1638 27146.350019 210713.382134 24093.165590 22303.608259 242.216838
2880 1638 28081.922948 211098.974148 27211.150264 23423.140427 237.258523
2880 1637 24185.247005 214037.593183 22944.865588 26279.981376 235.051853
2940 1637 24185.247005 215401.201484 24794.335306 26292.365337 235.716326
2940 1638 27260.080856 214225.215151 27917.868341 22466.556889 239.705677
3000 1638 27609.047509 218356.985173 31369.975129 23678.298456 237.306892
3000 1637 23500.349602 216999.460295 25471.382003 25313.664350 238.032322
3060 1637 23845.512942 216264.791100 26127.437781 26302.013038 237.424996
3060 1638 26879.737714 219724.877689 32383.112645 23347.389752 239.172722
3120 1638 27340.950811 225081.021797 34013.517328 24315.534300 239.805249
3120 1637 23845.512942 215826.686571 26267.063469 26291.772004 237.720389
3180 1637 23845.512942 222763.771971 30823.704480 26322.756339 236.413437
3180 1638 28182.638992 225390.198059 37312.198869 24854.811953 239.263220
3240 1638 26153.509157 229447.022452 39377.168180 22063.376891 243.824279
3240 1637 24027.610693 227599.754233 35803.544915 26349.393133 235.691274
3300 1637 24027.610693 237839.178428 30992.908598 26416.094719 238.666830
3300 1638 26223.330862 219323.816643 42017.877227 22470.456061 241.006438
3360 1638 26661.602596 220478.864239 43831.921982 23712.462559 243.001241
3360 1637 23500.349602 242849.644737 35300.268667 25477.215462 238.714629
3420 1637 23510.278934 244987.046793 38539.405981 26454.753598 257.527205
3420 1638 26530.861337 228446.467644 45518.592221 23636.541838 226.627269
3480 1638 26691.507663 231335.687455 52441.984187 24968.660670 225.560065
3480 1637 23510.278934 257385.057300 46966.638805 26523.069412 257.747011
3540 1637 23656.868685 254287.199211 45620.895459 27672.450690 256.382254
3540 1638 27627.478898 240220.783376 53918.842191 25451.728133 232.559694
3600 1638 27739.851704 244321.620610 56857.349293 26401.179397 227.147119
3600 1637 23656.868685 261381.759234 50408.364568 27686.369558 259.932349
