IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1741 6 419.826507 404.664752 398.883871 5.780882 20.942636 15.161754
1741 4 833.108950 386.466997 375.102717 11.364281 458.006233 446.641952
1741 1 833.345656 394.117350 382.733313 11.384037 450.612343 439.228306
1741 3 1461.986174 427.666251 416.301970 11.364281 1045.684204 1034.319923
1741 5 422.900059 458.236736 455.754217 2.482519 -32.854159 -35.336678
1801 3 426.260701 421.715616 406.153418 15.562198 20.107283 4.545085
1801 4 1068.496347 429.893605 414.331408 15.562198 654.164939 638.602742
1801 1 638.861726 387.450106 371.860854 15.589251 267.000871 251.411620
1801 2 1065.315469 503.904683 487.922563 15.982120 577.392906 561.410785
1801 5 852.959647 427.652057 423.433772 4.218285 429.525875 425.307590
1801 6 641.011157 479.288914 471.372600 7.916314 169.638558 161.722243
1861 6 646.651952 518.784281 513.003399 5.780882 133.648552 127.867671
1861 4 1295.503204 558.638024 547.273743 11.364281 748.229461 736.865180
1861 5 1077.722612 494.597616 491.517217 3.080399 586.205395 583.124996
1861 3 861.704418 454.891219 443.526938 11.364281 418.177480 406.813199
1861 2 647.083582 568.525319 556.854390 11.670929 90.229192 78.558263
1861 1 1078.312254 319.949427 308.565390 11.384037 769.746864 758.362827
1921 2 1303.065591 289.822110 282.462372 7.359738 1020.603219 1013.243481
1921 6 1952.656460 385.833719 382.188270 3.645449 1570.468190 1566.822741
1921 1 649.400894 251.401288 244.222466 7.178822 405.178428 397.999606
1921 4 653.917271 379.949599 372.783234 7.166364 281.134036 273.967672
1921 5 867.817829 204.542097 202.599584 1.942513 665.218245 663.275733
1921 3 1736.963908 363.219918 356.053554 7.166364 1380.910354 1373.743990
1981 5 1110.002661 437.676187 436.871561 0.804627 673.131100 672.326474
1981 3 1111.491656 645.911499 642.943052 2.968448 468.548605 465.580157
1981 1 1325.577698 400.612962 397.639354 2.973608 927.938343 924.964735
1981 6 1318.223441 331.766599 330.256583 1.510016 987.966857 986.456842
1981 2 1540.171252 334.414675 331.366128 3.048547 1208.805124 1205.756577
1981 4 1767.045694 357.045768 354.077321 2.968448 1412.968373 1409.999926
2041 2 1139.458305 420.987816 417.648792 3.339025 721.809513 718.470489
2041 5 1818.396577 673.274832 672.393538 0.881295 1146.003039 1145.121745
2041 1 907.612116 568.910767 565.653821 3.256945 341.958294 338.701349
2041 3 1814.231379 562.546346 559.295053 3.251293 1254.936326 1251.685033
2041 4 1135.137183 535.679186 532.427893 3.251293 602.709291 599.457998
2041 6 1590.325406 482.679613 481.025717 1.653896 1109.299689 1107.645793
2101 1 1405.699393 487.481020 480.018860 7.462160 925.680533 918.218373
2101 6 700.824187 433.022640 429.233311 3.789329 271.590876 267.801546
2101 4 1169.765236 513.470106 506.020896 7.449210 663.744340 656.295130
2101 3 936.069452 308.171377 300.722167 7.449210 635.347285 627.898076
2101 5 1171.884886 403.175955 401.156775 2.019181 770.728112 768.708931
2101 2 707.624721 470.539309 462.889093 7.650216 244.735628 237.085412
2161 2 960.684476 588.718711 576.757304 11.961407 383.927172 371.965765
2161 1 1449.275830 484.705318 473.037943 11.667374 976.237886 964.570512
2161 4 1198.047413 693.375734 681.728608 11.647127 516.318805 504.671679
2161 3 725.333225 555.849657 544.202531 11.647127 181.130694 169.483568
2161 6 963.996833 469.545875 463.621113 5.924762 500.375720 494.450958
2161 5 963.732331 370.184442 367.027375 3.157067 596.704956 593.547889
2221 6 1471.967562 539.242773 531.182578 8.060195 940.784984 932.724789
2221 3 1470.173695 604.419016 588.573973 15.845043 881.599722 865.754679
2221 2 982.849207 622.954445 606.681847 16.272598 376.167360 359.894762
2221 1 983.088609 408.117918 392.245330 15.872589 590.843279 574.970690
2221 4 1227.058551 355.509083 339.664040 15.845043 887.394512 871.549468
2221 5 1229.985230 396.041741 391.746788 4.294953 838.238442 833.943489
2281 4 988.597573 576.836845 564.798591 12.038254 423.798982 411.760728
2281 1 742.751368 356.008202 343.949021 12.059181 398.802347 386.743166
2281 2 1485.386103 630.952021 618.588933 12.363088 866.797170 854.434082
2281 6 987.390701 535.363382 529.239658 6.123724 458.151043 452.027319
2281 5 495.188531 336.614104 333.351018 3.263086 161.837513 158.574427
2281 3 991.057844 391.344048 379.305794 12.038254 611.752049 599.713796
2341 4 2223.332280 401.530624 393.690287 7.840337 1829.641992 1821.801655
2341 1 740.025402 365.123420 357.269453 7.853967 382.755949 374.901982
2341 6 990.186545 195.706696 191.718405 3.988291 798.468140 794.479849
2341 5 990.309796 358.173667 356.048467 2.125200 634.261329 632.136129
2341 2 986.770342 347.089438 339.037542 8.051897 647.732800 639.680903
2341 3 987.313326 356.406204 348.565867 7.840337 638.747458 630.907122
2401 4 754.307658 546.210659 541.050435 5.160224 213.257222 208.096999
2401 1 1253.008839 451.303633 446.134438 5.169194 806.874401 801.705206
2401 2 2502.378116 590.553737 585.254272 5.299465 1917.123844 1911.824379
2401 5 1256.227646 456.596496 455.197767 1.398729 801.029879 799.631150
2401 6 1505.201407 587.879220 585.254272 2.624948 919.947135 917.322187
2401 3 2008.721022 372.386542 367.226318 5.160224 1641.494704 1636.334480
2461 6 1813.077642 656.996785 653.237253 3.759532 1159.840388 1156.080856
2461 5 1552.298619 570.687899 568.684596 2.003303 983.614024 981.610721
2461 3 1304.498904 519.206770 511.816136 7.390633 792.682767 785.292134
2461 4 2061.251342 500.553942 493.163309 7.390633 1568.088033 1560.697400
2461 1 1542.075870 558.310678 550.907196 7.403482 991.168674 983.765192
2461 2 1548.774247 453.059659 445.469600 7.590059 1103.304647 1095.714589
2521 2 1057.998151 571.728041 559.826791 11.901250 498.171361 486.270111
2521 3 533.185117 571.415341 559.826791 11.588550 -26.641674 -38.230224
2521 1 1583.050159 563.828813 552.220117 11.608696 1030.830042 1019.221346
2521 4 1068.936528 651.828943 640.240392 11.588550 428.696136 417.107586
2521 5 535.041777 360.576386 357.435197 3.141189 177.606579 174.465390
2521 6 1318.862296 576.871981 570.977016 5.894965 747.885280 741.990315
2581 1 540.665081 578.995702 563.358871 15.636830 -22.693791 -38.330621
2581 2 811.049143 430.128173 414.097275 16.030898 396.951868 380.920969
2581 4 1347.774402 655.898441 640.288747 15.609694 707.485655 691.875961
2581 3 1622.129160 580.464373 563.966199 16.498173 1058.162961 1041.664787
2581 6 1083.631279 717.483880 709.543405 7.940475 374.087874 366.147399
2581 5 1076.010697 487.114865 482.883706 4.231159 593.126991 588.895831
2641 5 1092.867038 415.258933 410.408980 4.849954 682.458058 677.608105
2641 4 1093.434166 560.490186 542.597621 17.892565 550.836545 532.943980
2641 1 1643.568235 368.512242 349.567480 18.944761 1294.000754 1275.055993
2641 2 819.020099 500.272611 481.897242 18.375369 337.122857 318.747488
2641 3 1090.497369 570.775162 551.864180 18.910982 538.633189 519.722207
2641 6 1913.667944 589.680303 580.578557 9.101746 1333.089388 1323.987642
2701 1 275.155465 389.015238 374.515258 14.499981 -99.359792 -113.859773
2701 2 274.401051 268.079765 254.015587 14.064178 20.385464 6.321286
2701 6 1098.267271 432.730115 425.763802 6.966313 672.503469 665.537156
2701 4 274.788530 428.698042 415.003394 13.694648 -140.214864 -153.909512
2701 5 549.919348 213.921545 210.209477 3.712068 339.709870 335.997803
