IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS DEBT EQUITY
781 6 0 0 0 0.000000 1 0 733.600000 0.000000 0 144.042794 0.560000 1310 801.974366 -68.374366
781 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 144.042794 0.560000 1310 671.666667 61.933333
781 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 144.042794 0.560000 1310 671.666667 61.933333
841 6 1 1 0 0.000000 0 0 1028.773190 -0.000000 2 147.586595 0.560000 1310 241.396873 787.376317
841 4 0 0 0 0.000000 0 0 1176.359785 0.000000 3 147.586595 0.560000 1310 671.666667 504.693119
841 5 0 0 0 0.000000 0 0 881.186595 0.000000 1 147.586595 0.560000 1310 671.666667 209.519928
841 2 0 0 0 0.000000 0 0 733.600000 0.000000 0 147.586595 0.560000 1310 671.666667 61.933333
841 1 0 0 0 0.000000 0 0 881.186595 -0.000000 1 147.586595 0.560000 1310 671.666667 209.519928
841 3 0 0 0 0.000000 0 0 881.186595 0.000000 1 147.586595 0.560000 1310 671.666667 209.519928
901 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 150.635584 0.560000 1310 671.666667 61.933333
901 6 0 0 0 0.000000 0 0 1034.871168 0.000000 2 150.635584 0.560000 1310 241.396873 793.474295
901 4 0 0 0 0.000000 0 0 884.235584 0.000000 1 150.635584 0.560000 1310 671.666667 212.568917
901 1 0 0 0 0.000000 0 0 884.235584 -0.000000 1 150.635584 0.560000 1310 671.666667 212.568917
901 2 0 0 0 0.000000 0 0 884.235584 -0.000000 1 150.635584 0.560000 1310 671.666667 212.568917
901 5 0 0 0 0.000000 0 0 1034.871168 0.000000 2 150.635584 0.560000 1310 671.666667 363.204501
961 5 0 0 0 0.000000 0 0 886.897253 0.000000 1 153.297253 0.560000 1310 671.666667 215.230587
961 6 0 0 0 0.000000 0 0 1040.194506 0.000000 2 153.297253 0.560000 1310 241.396873 798.797633
961 2 0 0 0 0.000000 0 0 886.897253 -0.000000 1 153.297253 0.560000 1310 671.666667 215.230587
961 3 0 0 0 0.000000 0 0 1193.491760 0.000000 3 153.297253 0.560000 1310 671.666667 521.825093
961 4 0 0 0 0.000000 0 0 1193.491760 0.000000 3 153.297253 0.560000 1310 671.666667 521.825093
961 1 0 0 0 0.000000 0 0 1040.194506 -0.000000 2 153.297253 0.560000 1310 671.666667 368.527840
1021 2 0 0 0 0.000000 0 0 1045.806559 -0.000000 2 156.103279 0.560000 1310 671.666667 374.139892
1021 1 0 0 0 0.000000 0 0 1045.806559 -0.000000 2 156.103279 0.560000 1310 671.666667 374.139892
1021 6 0 0 0 0.000000 0 0 1045.806559 0.000000 2 156.103279 0.560000 1310 241.396873 804.409686
1021 5 0 0 0 0.000000 0 0 1201.909838 0.000000 3 156.103279 0.560000 1310 671.666667 530.243171
1021 3 0 0 0 0.000000 0 0 1045.806559 0.000000 2 156.103279 0.560000 1310 671.666667 374.139892
1021 4 0 0 0 0.000000 0 0 1045.806559 0.000000 2 156.103279 0.560000 1310 671.666667 374.139892
1081 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 160.582762 0.560000 1310 671.666667 61.933333
1081 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 160.582762 0.560000 1310 671.666667 61.933333
1081 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 160.582762 0.560000 1310 671.666667 61.933333
1081 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 160.582762 0.560000 1310 671.666667 61.933333
1081 6 0 0 0 0.000000 0 0 894.182762 0.000000 1 160.582762 0.560000 1310 241.396873 652.785889
1081 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 160.582762 0.560000 1310 671.666667 61.933333
1141 2 1 1 0 0.000000 0 0 1064.684609 0.000000 2 165.542304 0.560000 1310 689.790596 374.894013
1141 1 0 0 0 0.000000 0 0 899.142304 -0.000000 1 165.542304 0.560000 1310 671.666667 227.475638
1141 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 165.542304 0.560000 1310 671.666667 61.933333
1141 6 0 0 0 0.000000 0 0 899.142304 0.000000 1 165.542304 0.560000 1310 241.396873 657.745431
1141 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 165.542304 0.560000 1310 671.666667 61.933333
1141 3 0 0 0 0.000000 0 0 899.142304 0.000000 1 165.542304 0.560000 1310 671.666667 227.475638
1201 2 0 0 0 0.000000 0 0 902.280641 0.000000 1 168.680641 0.560000 1310 689.790596 212.490045
1201 4 0 0 0 0.000000 0 0 902.280641 0.000000 1 168.680641 0.560000 1310 671.666667 230.613975
1201 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 168.680641 0.560000 1310 671.666667 61.933333
1201 5 0 0 0 0.000000 0 0 1070.961282 0.000000 2 168.680641 0.560000 1310 671.666667 399.294616
1201 6 0 0 0 0.000000 0 0 902.280641 0.000000 1 168.680641 0.560000 1310 241.396873 660.883768
1201 3 0 0 0 0.000000 0 0 1070.961282 0.000000 2 168.680641 0.560000 1310 671.666667 399.294616
1261 6 0 0 0 0.000000 0 0 906.596990 -0.000000 1 172.996990 0.560000 1310 241.396873 665.200117
1261 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 172.996990 0.560000 1310 671.666667 61.933333
1261 1 0 0 0 0.000000 0 0 1079.593980 -0.000000 2 172.996990 0.560000 1310 671.666667 407.927313
1261 2 0 0 0 0.000000 0 0 733.600000 0.000000 0 172.996990 0.560000 1310 689.790596 43.809404
1261 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 172.996990 0.560000 1310 671.666667 61.933333
1261 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 172.996990 0.560000 1310 671.666667 61.933333
1321 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 178.437315 0.560000 1310 671.666667 61.933333
1321 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 178.437315 0.560000 1310 671.666667 61.933333
1321 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 178.437315 0.560000 1310 671.666667 61.933333
1321 2 0 0 0 0.000000 0 0 733.600000 0.000000 0 178.437315 0.560000 1310 689.790596 43.809404
1321 6 0 0 0 0.000000 0 0 733.600000 -0.000000 0 178.437315 0.560000 1310 241.396873 492.203127
1321 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 178.437315 0.560000 1310 671.666667 61.933333
1381 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 183.866449 0.560000 1310 689.790596 43.809404
1381 4 0 0 0 0.000000 0 0 1101.332898 0.000000 2 183.866449 0.560000 1310 671.666667 429.666231
1381 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 183.866449 0.560000 1310 671.666667 61.933333
1381 1 0 0 0 0.000000 0 0 917.466449 -0.000000 1 183.866449 0.560000 1310 671.666667 245.799782
1381 6 0 0 0 0.000000 0 0 917.466449 -0.000000 1 183.866449 0.560000 1310 241.396873 676.069576
1381 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 183.866449 0.560000 1310 671.666667 61.933333
1441 2 0 0 0 0.000000 0 0 922.072090 -0.000000 1 188.472090 0.560000 1310 689.790596 232.281494
1441 4 0 0 0 0.000000 0 0 1110.544179 0.000000 2 188.472090 0.560000 1310 671.666667 438.877513
1441 1 0 0 0 0.000000 0 0 922.072090 -0.000000 1 188.472090 0.560000 1310 671.666667 250.405423
1441 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 188.472090 0.560000 1310 671.666667 61.933333
1441 5 0 0 0 0.000000 0 0 922.072090 0.000000 1 188.472090 0.560000 1310 671.666667 250.405423
1441 6 0 0 0 0.000000 0 0 922.072090 -0.000000 1 188.472090 0.560000 1310 241.396873 680.675217
1501 1 1 1 0 0.000000 0 0 1497.741486 0.000000 4 191.035371 0.560000 1310 672.834316 824.907170
1501 5 1 1 0 0.000000 0 0 1497.741486 0.000000 4 191.035371 0.560000 1310 755.394310 742.347175
1501 6 1 1 0 0.000000 0 0 1497.741486 0.000000 4 191.035371 0.560000 1310 341.669260 1156.072226
1501 4 0 0 0 0.000000 0 0 1497.741486 -0.000000 4 191.035371 0.560000 1310 671.666667 826.074819
1501 3 0 0 0 0.000000 0 0 924.635371 0.000000 1 191.035371 0.560000 1310 671.666667 252.968705
1501 2 0 0 0 0.000000 0 0 1115.670743 0.000000 2 191.035371 0.560000 1310 689.790596 425.880147
1561 3 0 0 0 0.000000 0 0 1121.114248 0.000000 2 193.757124 0.560000 1310 671.666667 449.447581
1561 4 0 0 0 0.000000 0 0 1121.114248 0.000000 2 193.757124 0.560000 1310 671.666667 449.447581
1561 5 0 0 0 0.000000 0 0 1702.385619 0.000000 5 193.757124 0.560000 1310 755.394310 946.991308
1561 6 0 0 0 0.000000 0 0 1314.871371 0.000000 3 193.757124 0.560000 1310 341.669260 973.202111
1561 1 0 0 0 0.000000 0 0 1702.385619 -0.000000 5 193.757124 0.560000 1310 672.834316 1029.551303
1561 2 0 0 0 0.000000 0 0 1314.871371 -0.000000 3 193.757124 0.560000 1310 689.790596 625.080775
1621 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 199.493771 0.560000 1310 671.666667 61.933333
1621 5 0 0 0 0.000000 0 0 933.093771 0.000000 1 199.493771 0.560000 1310 755.394310 177.699461
1621 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 199.493771 0.560000 1310 672.834316 60.765684
1621 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 199.493771 0.560000 1310 671.666667 61.933333
1621 6 0 0 0 0.000000 0 0 733.600000 0.000000 0 199.493771 0.560000 1310 341.669260 391.930740
1621 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 199.493771 0.560000 1310 689.790596 43.809404
1681 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 205.842384 0.560000 1310 671.666667 61.933333
1681 4 0 0 0 0.000000 0 0 939.442384 0.000000 1 205.842384 0.560000 1310 671.666667 267.775717
1681 2 0 0 0 0.000000 0 0 939.442384 -0.000000 1 205.842384 0.560000 1310 689.790596 249.651788
1681 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 205.842384 0.560000 1310 672.834316 60.765684
1681 5 0 0 0 0.000000 1 0 733.600000 0.000000 0 205.842384 0.560000 1310 755.394310 -21.794310
1681 6 0 0 0 0.000000 0 0 733.600000 0.000000 0 205.842384 0.560000 1310 341.669260 391.930740
1741 5 1 1 0 0.000000 0 0 733.600000 0.000000 0 211.221568 0.560000 1310 182.061781 551.538219
1741 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 211.221568 0.560000 1310 671.666667 61.933333
1741 1 0 0 0 0.000000 0 0 944.821568 -0.000000 1 211.221568 0.560000 1310 672.834316 271.987252
1741 4 0 0 0 0.000000 0 0 1156.043136 0.000000 2 211.221568 0.560000 1310 671.666667 484.376469
1741 6 0 0 0 0.000000 0 0 1156.043136 0.000000 2 211.221568 0.560000 1310 341.669260 814.373876
1741 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 211.221568 0.560000 1310 689.790596 43.809404
1801 6 0 0 0 0.000000 0 0 1376.817370 0.000000 3 214.405790 0.560000 1310 341.669260 1035.148110
1801 5 0 0 0 0.000000 0 0 948.005790 0.000000 1 214.405790 0.560000 1310 182.061781 765.944009
1801 2 0 0 0 0.000000 0 0 1162.411580 -0.000000 2 214.405790 0.560000 1310 689.790596 472.620984
1801 1 0 0 0 0.000000 0 0 1376.817370 -0.000000 3 214.405790 0.560000 1310 672.834316 703.983054
1801 4 0 0 0 0.000000 0 0 1162.411580 0.000000 2 214.405790 0.560000 1310 671.666667 490.744913
1801 3 0 0 0 0.000000 0 0 1162.411580 0.000000 2 214.405790 0.560000 1310 671.666667 490.744913
1861 1 0 0 0 0.000000 0 0 1163.016897 -0.000000 2 214.708448 0.560000 1310 672.834316 490.182581
1861 2 0 0 0 0.000000 0 0 1592.433794 -0.000000 4 214.708448 0.560000 1310 689.790596 902.643198
1861 3 0 0 0 0.000000 0 0 1377.725345 0.000000 3 214.708448 0.560000 1310 671.666667 706.058679
1861 5 0 0 0 0.000000 0 0 1163.016897 0.000000 2 214.708448 0.560000 1310 182.061781 980.955116
1861 4 0 0 0 0.000000 0 0 948.308448 -0.000000 1 214.708448 0.560000 1310 671.666667 276.641782
