IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
2341 1637 1287.616520 1287.616520 230.669212 0.000000 230.669212 1056.947308 0.000000 1062.030338
2341 1638 1371.530629 1371.530629 3474.770646 3224.284930 250.485716 -2103.240017 0.000000 0.000000
2401 1638 1359.795866 1359.795866 249.760353 0.000000 249.760353 1110.035514 0.000000 0.000000
2401 1637 1285.802157 1285.802157 228.954231 0.000000 228.954231 1056.847926 0.000000 1056.947308
2461 1637 1284.278850 1284.278850 229.476690 0.000000 229.476690 1054.802160 0.000000 1056.847926
2461 1638 1362.404139 1362.404139 249.353311 0.000000 249.353311 1113.050828 1110.035514 0.000000
2521 1638 1360.506776 1360.506776 250.377384 0.000000 250.377384 1110.129392 103.927437 1009.123391
2521 1637 1290.970125 1290.970125 230.827009 0.000000 230.827009 1060.143116 0.000000 1054.802160
2581 1637 1305.771543 1305.771543 232.913144 0.000000 232.913144 1072.858399 0.000000 1060.143116
2581 1638 1359.666288 1359.666288 246.079325 0.000000 246.079325 1113.586963 0.000000 1110.129392
2641 1638 1362.747369 1362.747369 248.592484 0.000000 248.592484 1114.154885 123.460562 990.126401
2641 1637 1310.889898 1310.889898 232.228764 0.000000 232.228764 1078.661134 0.000000 1072.858399
2701 1637 1321.311229 1321.311229 234.698866 0.000000 234.698866 1086.612363 0.000000 1078.661134
2701 1638 1356.676958 1356.676958 4431.118630 4183.964508 247.154122 -3074.441673 0.000000 1114.154885
2761 1638 1297.477398 1297.477398 2505.114671 2260.637213 244.477458 -1207.637273 0.000000 0.000000
2761 1637 1366.240777 1366.240777 1663.382096 1427.809780 235.572316 -297.141319 0.000000 1086.612363
2821 1637 1408.762767 1408.762767 248.692277 0.000000 248.692277 1160.070490 0.000000 0.000000
2821 1638 1238.732150 1238.732150 229.813578 0.000000 229.813578 1008.918572 0.000000 0.000000
2881 1638 1235.035849 1235.035849 218.479576 0.000000 218.479576 1016.556273 1008.918572 0.000000
2881 1637 1430.736160 1430.736160 259.063601 0.000000 259.063601 1171.672559 0.000000 1160.070490
2941 1637 1415.449721 1415.449721 259.751101 0.000000 259.751101 1155.698619 0.000000 1171.672559
2941 1638 1260.743502 1260.743502 220.152230 0.000000 220.152230 1040.591271 1016.556273 0.000000
3001 1638 1301.582101 1301.582101 224.832096 0.000000 224.832096 1076.750005 674.086877 366.504395
3001 1637 1397.180083 1397.180083 254.569679 0.000000 254.569679 1142.610404 0.000000 1155.698619
3061 1637 1393.786214 1393.786214 2852.158346 2602.227402 249.930944 -1458.372132 0.000000 1142.610404
3061 1638 1319.718457 1319.718457 1657.287032 1424.885298 232.401734 -337.568575 667.679856 409.070149
3121 1638 1318.342646 1318.342646 1342.025166 1112.840806 229.184360 -23.682520 0.000000 0.000000
3121 1637 1391.187676 1391.187676 1360.223356 1111.010235 249.213121 30.964319 0.000000 0.000000
3181 1637 1381.033902 1381.033902 249.277494 0.000000 249.277494 1131.756408 0.000000 30.964319
