IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1021 17 120.386307 120.386307
1021 18 113.215276 113.215276
1021 23 150.865634 150.865634
1021 20 152.293070 152.293070
1021 29 169.802459 169.802459
1021 22 125.222834 125.222834
1021 14 69.919109 69.919109
1021 9 147.608447 147.608447
1021 16 139.252748 139.252748
1021 28 74.002224 74.002224
1021 24 140.322340 140.322340
1021 12 99.833170 99.833170
1021 25 141.280620 141.280620
1021 19 152.621522 152.621522
1021 30 104.792134 104.792134
1021 13 143.038520 143.038520
1021 10 92.233890 92.233890
1021 7 115.504274 115.504274
1021 26 49.819030 49.819030
1021 21 81.856239 81.856239
1021 11 188.593968 188.593968
1021 8 82.599053 82.599053
1081 26 188.389417 188.389417
1081 23 190.322010 190.322010
1081 18 171.415784 171.415784
1081 8 40.447304 40.447304
1081 21 57.472714 57.472714
1081 7 46.443621 46.443621
1081 13 37.127785 37.127785
1081 30 38.905469 38.905469
1081 24 48.388432 48.388432
1081 28 41.238089 41.238089
1081 16 31.993155 31.993155
1081 14 45.621584 45.621584
1081 17 32.615676 32.615676
1081 22 40.398797 40.398797
1081 25 40.386203 40.386203
1081 19 42.232700 42.232700
1081 9 35.294502 35.294502
1081 12 40.361016 40.361016
1081 11 50.603719 50.603719
1081 29 32.607106 32.607106
1081 10 54.472272 54.472272
1081 27 42.297910 42.297910
1081 15 37.749377 37.749377
1081 20 108.305639 108.305639
1141 28 32.361879 32.361879
1141 8 50.904681 50.904681
1141 27 42.504393 42.504393
1141 7 29.731189 29.731189
1141 11 64.713632 64.713632
1141 20 28.695761 28.695761
1141 18 30.451934 30.451934
1141 29 34.961098 34.961098
1141 15 33.406012 33.406012
1141 14 22.448263 22.448263
1141 25 2.720233 2.720233
1141 26 33.923178 33.923178
1141 17 42.675654 42.675654
1141 10 67.045591 67.045591
1141 12 24.651676 24.651676
1141 9 43.922213 43.922213
1141 19 45.298290 45.298290
1141 22 41.372396 41.372396
1141 16 32.400355 32.400355
