IT_NO ID MORTGAGES MORTGAGE_COST HOUSING_UNITS HOUSING_VALUE EQUITY_RATIO LIQUIDITY
1 761 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 765 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 770 341.780390 0.353015 6 605.722174 0.501643 -0.353015
1 775 341.405710 0.351446 6 605.722174 0.501643 -0.351446
1 784 341.280816 0.350923 6 605.722174 0.501643 -0.350923
1 788 342.304943 0.355212 6 605.722174 0.501643 -0.355212
1 799 341.380731 0.351341 6 605.722174 0.501643 -0.351341
1 805 341.430688 0.351551 6 605.722174 0.501643 -0.351551
1 807 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 809 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 815 341.580561 0.352178 6 605.722174 0.501643 -0.352178
1 816 342.080135 0.354271 6 605.722174 0.501643 -0.354271
1 820 341.105965 0.350190 6 605.722174 0.501643 -0.350190
1 823 341.180901 0.350504 6 605.722174 0.501643 -0.350504
1 839 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 840 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 848 341.130944 0.350295 6 605.722174 0.501643 -0.350295
1 849 341.380731 0.351341 6 605.722174 0.501643 -0.351341
1 855 342.205028 0.354794 6 605.722174 0.501643 -0.354794
1 861 341.755412 0.352911 6 605.722174 0.501643 -0.352911
1 869 341.205880 0.350609 6 605.722174 0.501643 -0.350609
1 872 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 877 340.731285 0.348621 6 605.722174 0.501643 -0.348621
1 885 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 892 341.205880 0.350609 6 605.722174 0.501643 -0.350609
1 895 341.455667 0.351655 6 605.722174 0.501643 -0.351655
1 896 340.806221 0.348935 6 605.722174 0.501643 -0.348935
1 898 341.780390 0.353015 6 605.722174 0.501643 -0.353015
1 902 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 904 342.030177 0.354062 6 605.722174 0.501643 -0.354062
1 908 341.505625 0.351864 6 605.722174 0.501643 -0.351864
1 912 342.354901 0.355422 6 605.722174 0.501643 -0.355422
1 916 341.505625 0.351864 6 605.722174 0.501643 -0.351864
1 925 340.931114 0.349458 6 605.722174 0.501643 -0.349458
1 926 340.931114 0.349458 6 605.722174 0.501643 -0.349458
1 945 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 948 341.680476 0.352597 6 605.722174 0.501643 -0.352597
1 957 342.080135 0.354271 6 605.722174 0.501643 -0.354271
1 964 341.380731 0.351341 6 605.722174 0.501643 -0.351341
1 973 341.480646 0.351760 6 605.722174 0.501643 -0.351760
1 976 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 979 341.855327 0.353329 6 605.722174 0.501643 -0.353329
1 980 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 982 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 990 342.404858 0.355631 6 605.722174 0.501643 -0.355631
1 996 341.555582 0.352074 6 605.722174 0.501643 -0.352074
1 1001 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1008 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1014 342.005199 0.353957 6 605.722174 0.501643 -0.353957
1 1015 342.479794 0.355945 6 605.722174 0.501643 -0.355945
1 1022 342.354901 0.355422 6 605.722174 0.501643 -0.355422
1 1024 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 1033 341.630518 0.352388 6 605.722174 0.501643 -0.352388
1 1036 341.205880 0.350609 6 605.722174 0.501643 -0.350609
1 1040 341.480646 0.351760 6 605.722174 0.501643 -0.351760
1 1041 341.255838 0.350818 6 605.722174 0.501643 -0.350818
1 1050 341.580561 0.352178 6 605.722174 0.501643 -0.352178
1 1056 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1057 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1061 341.730433 0.352806 6 605.722174 0.501643 -0.352806
1 1063 341.255838 0.350818 6 605.722174 0.501643 -0.350818
1 1069 342.155071 0.354585 6 605.722174 0.501643 -0.354585
1 1078 341.255838 0.350818 6 605.722174 0.501643 -0.350818
1 1082 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 1083 341.330774 0.351132 6 605.722174 0.501643 -0.351132
1 1085 342.379879 0.355526 6 605.722174 0.501643 -0.355526
1 1088 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1090 340.756263 0.348726 6 605.722174 0.501643 -0.348726
1 1098 341.056008 0.349981 6 605.722174 0.501643 -0.349981
1 1108 341.755412 0.352911 6 605.722174 0.501643 -0.352911
1 1121 340.956093 0.349563 6 605.722174 0.501643 -0.349563
1 1126 342.479794 0.355945 6 605.722174 0.501643 -0.355945
1 1131 340.931114 0.349458 6 605.722174 0.501643 -0.349458
1 1133 341.505625 0.351864 6 605.722174 0.501643 -0.351864
1 1139 342.180050 0.354689 6 605.722174 0.501643 -0.354689
1 1141 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1144 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 1145 342.254986 0.355003 6 605.722174 0.501643 -0.355003
1 1146 341.955241 0.353748 6 605.722174 0.501643 -0.353748
1 1148 341.955241 0.353748 6 605.722174 0.501643 -0.353748
1 1154 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 1158 340.881157 0.349249 6 605.722174 0.501643 -0.349249
1 1162 342.404858 0.355631 6 605.722174 0.501643 -0.355631
1 1165 341.480646 0.351760 6 605.722174 0.501643 -0.351760
1 1166 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 1176 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 1184 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1191 341.430688 0.351551 6 605.722174 0.501643 -0.351551
1 1193 341.006050 0.349772 6 605.722174 0.501643 -0.349772
1 1208 342.055156 0.354166 6 605.722174 0.501643 -0.354166
1 1211 341.130944 0.350295 6 605.722174 0.501643 -0.350295
1 1216 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 1223 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1229 341.830348 0.353225 6 605.722174 0.501643 -0.353225
1 1237 341.805369 0.353120 6 605.722174 0.501643 -0.353120
1 1244 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1246 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 1265 342.279965 0.355108 6 605.722174 0.501643 -0.355108
1 1273 341.630518 0.352388 6 605.722174 0.501643 -0.352388
1 1274 340.881157 0.349249 6 605.722174 0.501643 -0.349249
1 1277 341.955241 0.353748 6 605.722174 0.501643 -0.353748
1 1288 341.105965 0.350190 6 605.722174 0.501643 -0.350190
1 1289 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1291 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 1297 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1298 341.230859 0.350714 6 605.722174 0.501643 -0.350714
1 1311 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1313 342.080135 0.354271 6 605.722174 0.501643 -0.354271
1 1318 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1331 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 1332 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 1334 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1338 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1343 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1347 341.855327 0.353329 6 605.722174 0.501643 -0.353329
1 1349 342.005199 0.353957 6 605.722174 0.501643 -0.353957
1 1353 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1355 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 1379 341.330774 0.351132 6 605.722174 0.501643 -0.351132
1 1401 342.354901 0.355422 6 605.722174 0.501643 -0.355422
1 1403 341.730433 0.352806 6 605.722174 0.501643 -0.352806
1 1413 342.429837 0.355736 6 605.722174 0.501643 -0.355736
1 1422 342.205028 0.354794 6 605.722174 0.501643 -0.354794
1 1434 342.254986 0.355003 6 605.722174 0.501643 -0.355003
1 1442 341.305795 0.351027 6 605.722174 0.501643 -0.351027
1 1457 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 1465 342.454816 0.355840 6 605.722174 0.501643 -0.355840
1 1478 341.705454 0.352701 6 605.722174 0.501643 -0.352701
1 1627 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 1623 340.756263 0.348726 6 605.722174 0.501643 -0.348726
1 1611 341.006050 0.349772 6 605.722174 0.501643 -0.349772
1 1594 342.279965 0.355108 6 605.722174 0.501643 -0.355108
1 1592 342.230007 0.354899 6 605.722174 0.501643 -0.354899
1 1573 340.731285 0.348621 6 605.722174 0.501643 -0.348621
1 1572 342.279965 0.355108 6 605.722174 0.501643 -0.355108
1 1566 341.056008 0.349981 6 605.722174 0.501643 -0.349981
1 1565 342.080135 0.354271 6 605.722174 0.501643 -0.354271
1 1563 341.080987 0.350086 6 605.722174 0.501643 -0.350086
1 1562 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 1555 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 1549 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 1545 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1534 342.230007 0.354899 6 605.722174 0.501643 -0.354899
1 1533 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 1532 341.280816 0.350923 6 605.722174 0.501643 -0.350923
1 1528 340.731285 0.348621 6 605.722174 0.501643 -0.348621
1 1520 341.580561 0.352178 6 605.722174 0.501643 -0.352178
1 1512 341.605539 0.352283 6 605.722174 0.501643 -0.352283
1 1502 341.480646 0.351760 6 605.722174 0.501643 -0.351760
1 1500 341.980220 0.353852 6 605.722174 0.501643 -0.353852
1 1494 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 1479 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1476 342.379879 0.355526 6 605.722174 0.501643 -0.355526
1 1461 342.230007 0.354899 6 605.722174 0.501643 -0.354899
1 1455 341.455667 0.351655 6 605.722174 0.501643 -0.351655
1 1450 341.680476 0.352597 6 605.722174 0.501643 -0.352597
1 1415 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1404 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 1302 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 1337 156.115091 0.294381 4 403.814783 17.166667 16.403387
1 1406 157.064282 0.298357 4 403.814783 17.166667 16.399412
1 1408 257.500000 0.000000 5 504.768478 25.750000 16.697768
1 1414 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1428 156.264964 0.295009 4 403.814783 17.166667 16.402760
1 1431 155.940240 0.293649 4 403.814783 17.166667 16.404120
1 1433 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1452 157.064282 0.298357 4 403.814783 17.166667 16.399412
1 1453 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1466 156.739559 0.296997 4 403.814783 17.166667 16.400772
1 1470 156.589687 0.296369 4 403.814783 25.750000 16.401400
1 1477 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1480 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1481 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1486 156.564708 0.296264 4 403.814783 17.166667 16.401504
1 1487 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1493 157.389005 0.299717 4 403.814783 17.166667 16.398052
1 1505 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1513 156.614665 0.296473 4 403.814783 17.166667 16.401295
1 1515 157.314069 0.299403 4 403.814783 17.166667 16.398365
1 1517 257.500000 0.000000 5 504.768478 17.166667 16.697768
1 1518 156.989346 0.298043 4 403.814783 17.166667 16.399726
1 1530 156.190027 0.294695 4 403.814783 25.750000 16.403074
1 1531 155.990198 0.293858 4 403.814783 17.166667 16.403911
1 1539 156.914410 0.297729 4 403.814783 25.750000 16.400039
